   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   0   0   0   0   8   0   0   2   0   0   2   2   0   2   0   0 
  2|   0   0   0   0   4   2   4   0   2   0   0   2   0   2   0   0 
  3|   4   2   4   0   0   0   0   0   0   2   0   0   2   0   0   2 
  4|   0   2   0   0   6   0   2   0   0   2   2   2   0   0   0   0 
  5|   6   0   0   0   0   0   0   0   0   0   0   2   2   2   2   2 
  6|   2   2   2   0   0   0   0   0   0   2   0   0   2   2   0   4 
  7|   0   0   0   0   2   0   4   0   2   0   2   4   0   2   0   0 
  8|   4   0   0   0   0   0   2   0   0   0   0   0   2   4   2   2 
  9|   0   0   2   0   4   0   2   2   0   2   2   2   0   0   0   0 
  a|   2   0   0   0   2   0   2   0   2   0   2   6   0   0   0   0 
  b|   2   0   2   0   0   0   0   2   0   0   0   0   2   2   0   6 
  c|   0   0   0   0   4   0   0   2   0   4   2   2   0   2   0   0 
  d|   6   0   0   2   0   0   2   0   0   0   0   0   0   4   2   0 
  e|   4   2   0   0   0   0   0   0   0   2   0   0   2   0   0   6 
  f|   0   0   0   0   4   0   2   0   0   0   0   8   0   2   0   0 
